Order_ID,Date,Customer_Name,Region,Category,Quantity,Sales,Profit,Month,Profit_Percentage
67a9c378-7c65-41e5-82e2-e662f728b4fa,11/24/2023,Steve Williams,North,Books,3,904.49,76.78,November,0.084887616
37ebdcd9-e87a-4613-a443-df789558867f,12/23/2023,Elizabeth Woods,South,Electronics,10,700.03,40.21,December,0.057440395
e8e5216a-fcbd-44c3-8021-2ef7cca5a5a1,7/16/2023,Charles Davis,South,Groceries,10,1520.14,89.53,July,0.058895891
d9b8a714-e61a-441c-92e0-c8b2bad640fb,7/26/2023,Dr. Stephanie Collins,West,Books,4,121.88,16.44,July,0.134886774
e9bb17bc-a3f2-49bf-9c63-16b950f24455,9/23/2023,Justin Gomez,North,Clothing,5,1579.85,175.42,September,0.111035858
eb2083e6-ce16-4dba-8ff1-8e0242af9fc3,3/21/2023,Karen Grimes,West,Groceries,10,329.32,62.36,March,0.189359893
ab0c1681-c8f8-43d0-9329-0a4cb5d32b16,8/2/2023,Anna Larsen,South,Books,5,696.5,54.28,August,0.07793252
b421eaeb-5340-47ca-baf3-897a3e70f16a,8/31/2023,Johnny Dillon,South,Sports,7,1685.88,295.59,August,0.175332764
cd9d2b7d-247a-4333-b7b0-b7d2cda8056c,12/5/2023,Thomas Walker,South,Sports,10,911.95,53.58,December,0.058753221
7d41e602-eece-428b-bf7b-118e820865d6,7/30/2023,Bobby Flores,North,Clothing,9,1832.25,154.23,July,0.084175194
8a5006c1-ec18-4efb-9080-e66e552f233a,2/12/2023,Eddie Martinez,West,Clothing,3,1035,139.91,February,0.135178744
cc457821-98a6-416d-9775-336d71eacd05,3/20/2023,Lindsey Matthews,South,Clothing,5,1136.89,226.66,March,0.199368453
9cdeb3e6-0870-415c-afcd-81b5d24bace4,5/30/2023,David White,East,Books,6,1979.79,128.62,May,0.064966486
ec62b2c8-2648-4e38-a074-05eb215663ab,9/13/2023,Benjamin Shelton,North,Sports,10,1660.54,179.58,September,0.108145543
d67e55fd-642b-4a42-aef9-c00b8a64c1b9,1/16/2023,Stephanie Leblanc,East,Clothing,5,234.65,43.86,January,0.186916684
96fd35d0-adf2-4806-a521-460637176e84,10/1/2023,Kelly Young,South,Electronics,8,133.16,24.36,October,0.182937819
b341facd-ff0a-40f1-a425-799aa905d750,11/17/2023,Lauren Hayes,East,Home Decor,5,118.55,28.37,November,0.239308309
d8570102-55d4-4936-a151-5607964a870c,12/23/2023,Mrs. Erika Wilson,South,Electronics,2,1449.02,188.87,December,0.130343266
2ba4b180-cb69-4a38-9f3f-563838701a14,3/15/2023,Nicholas Wilson,North,Sports,4,1732.46,260.92,March,0.150606652
0b9475b1-3801-4b47-b29a-8b06daf66c5f,5/10/2023,Antonio Logan,East,Home Decor,7,410.68,90.62,May,0.22065842
